Source.Name,Reporting starts,Reporting ends,New Ad name,New Ad set name,Ad Video,Bid,Bid type,Ad set budget,Ad set budget type,Last significant edit,Impressions,Reach,Frequency,Post comments,Post engagements,Post reactions,Post shares,Video plays,ThruPlays,Link clicks,Results,Result indicator,Amount spent (CAD),CPM(me),"CPM (cost per 1,000 impressions) (CAD)",CPC (cost per link click) (CAD),Cost per results,Quality ranking,Engagement rate ranking,Conversion rate ranking,Ends,Result rate,CTR (link click-through rate)
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN1,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,383,264,1.450758,,74,,,293,7,2,,,9.8,25.5875,25.587467,4.9,,-,-,-,Ongoing,,0.522193
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,HS,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN2,EN_ADSET_1,Video,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN3,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN4,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,CP,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN5,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN6,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,403,291,1.38488,,53,,,275,6,4,,,8.92,22.1340,22.133995,2.23,,-,-,-,Ongoing,,0.992556
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN7,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,309,207,1.492754,,2,,,,,2,,,6.53,21.1327,21.132686,3.265,,-,-,-,Ongoing,,0.647249
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN8,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,NIE,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN9,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN10,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN11,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN12,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,CS,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,UH,EN_ADSET_1,Video,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,61811,27807,2.222858,3,9622,7,1,51002,1154,321,24,actions:offsite_conversion.fb_pixel_complete_registration,1478.24,23.9155,23.915484,4.605109,61.59333300,-,-,-,Ongoing,0.03882800,0.519325
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN7,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,146,110,1.327273,,,,,,,,,,3.5,23.9726,23.972603,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN13,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN14,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN15,EN_ADSET_1,Video,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,0,0,0,,,,,,,,,,0,#DIV/0!,0,,,-,-,-,Ongoing,,
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN16,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,634076,243453,2.604511,29,2670,74,3,,,2554,118,actions:offsite_conversion.fb_pixel_complete_registration,9616.29,15.1658,15.165832,3.765188,81.49398300,-,-,-,Ongoing,0.01861000,0.402791
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,EN17,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,25415,15224,1.669404,,148,3,,,,145,12,actions:offsite_conversion.fb_pixel_complete_registration,611.35,24.0547,24.054692,4.216207,50.94583300,-,-,-,Ongoing,0.04721600,0.570529
Company-Social-Acquisition-Ads-Aug-1-2025-Aug-31-2025.csv,08-01-25,08-31-25,IQL,EN_ADSET_1,Image,0,ABSOLUTE_OCPM,Using campaign budget,0,7/28/25 11:45,6976,4231,1.648783,,65,1,,,,62,4,actions:offsite_conversion.fb_pixel_complete_registration,261.7,37.5143,37.514335,4.220968,65.425,-,-,-,Ongoing,0.05733900,0.888761
